City,County,Phone Number,Provider Name,State,Street Address,Zipcode,Service Type
"Centerville,",Greene,(419) 673-7450,Assistive Solutions,OH,"93R Compark Rd,",45459,Home and Vehicle Modification Services
Florissant,,(314) 803-1683,"Sherlock Homes Inspection Agency, Inc",MO,224 N Highway 67 St Ste 8,63031,Home and Vehicle Modification Services
Woodstock,McHenry,(815) 527-7297,AMS Auto,IL,1340 Cobblestone Way,60098,Home and Vehicle Modification Services
Edwardsville,Madison,jasoncluster@gmail.com,"Cluster, Jason",IL,7383 Jerusalem Rd,62025,Home and Vehicle Modification Services
Saint Louis,,(877) 664-4565,Express Kitchen and Bath,MO,1850 Borman Ct,63146,Home and Vehicle Modification Services
East Peoria,Tazewell,(309) 444-3444,"Illinois Home Solutions of America, Inc.",IL,3410 N Main St,61611,Home and Vehicle Modification Services
Covington,,(765) 761-7773,"Satterfield, Jonathon",IN,759 E 1650 N,47932,Home and Vehicle Modification Services
Columbia,Adair,(270) 384-2220,Assisted Transportation Systems,KY,238 Development Dr,42728,Home and Vehicle Modification Services
Saint Louis,,(314) 645-6200,Tech Electronics INC.,MO,6437 Manchester Ave,63139,Home and Vehicle Modification Services
Palatine,Cook,(847) 991-6330,Kalander Enterprises,IL,"921 N Martin Dr,",60067,Home and Vehicle Modification Services
Decatur,Macon,(217) 424-8900,Promax Construction,IL,141 W Main St,62523,Home and Vehicle Modification Services
Palatine,Cook,gregstileservice@gmail.com,"Keller, Greg",IL,338 N OAK ST,60067,Home and Vehicle Modification Services
Decatur,Macon,(217) 877-2611,J.J. Swartz Co,IL,2120 N Oakland Ave,62526,Home and Vehicle Modification Services
East Peoria,Tazewell,(309) 698-9290,"Ada Total Access, INC",IL,125 Thunderbird Ln Ste5,61611,Home and Vehicle Modification Services
Deerfield,Lake,(847) 420-1220,Gross Construction,IL,20882 N Birch St,60015,Home and Vehicle Modification Services
Chicago,Cook,(773) 383-3609,"Kelly, Michael (DBA Mr. Fence)",IL,4911 W Catalpa Ave,60630,Home and Vehicle Modification Services
Chicago,COOK,(773) 478-8450,Independent Living Solutions,IL,6327 NPulaski Rd,60646,Home and Vehicle Modification Services
East Alton,Madison,(618) 259-2500,Eagle Windows and Siding,IL,"130 Skyway Ct,",62024,Home and Vehicle Modification Services
East Alton,Madison,(618) 259-2500,Eltron Inc,IL,"130 Skyway Ct,",62024,Home and Vehicle Modification Services
East Moline,Rock Island,(309) 631-8381,"Siegfried, Ricky",IL,3710 6th Ave,61244,Home and Vehicle Modification Services
East Moline,Rock Island,(309) 631-8381,Sunshine Fence and Deck Company,IL,3710 6th Ave,61244,Home and Vehicle Modification Services
East Peoria,Tazewell,(309) 229-2212,Johnson Controls Fire Protection,IL,686 High Point Ln,61611,Home and Vehicle Modification Services
Saint Charles,,(636) 447-1414,101 Mobility - St. Louis,MO,4025 S Old Highway 94 Ste T,63304,Home and Vehicle Modification Services
Westmont,DuPage,(630) 325-9395,Strada Multi-Maintenance and Repair,IL,1000 Vandustrial Dr.,60559,Home and Vehicle Modification Services
Roselle,DuPage,(414) 758-2891,Access Elevator Inc,IL,42 Congress Cir W,60172,Home and Vehicle Modification Services
Frankfort,Will,(708) 972-4911,"Chicagoland Mobility Services, Ltd.",IL,20340 S White Fence Ct,60423,Home and Vehicle Modification Services
Carlinville,Macoupin,SALLYM@MACMHC.ORG,"Rives, John",IL,123 W Washington St,62626,Home and Vehicle Modification Services
Morton,Tazewell,(309) 266-6792,"Scott Steffen Construction, Inc.",IL,2125 Veterans Rd,61550,Home and Vehicle Modification Services
Mokena,Will,rkasper@101mobility.com,"Kasper, Rick",IL,13929 Elizabeth Ln,60448,Home and Vehicle Modification Services
Joliet,Will,(815) 741-1635,Cedar Rustic Fence,IL,99 Republic Ave,60435,Home and Vehicle Modification Services
Mattoon,Coles,(217) 234-2777,"Fessi, Inc.",IL,2401 S 14th St,61938,Home and Vehicle Modification Services
Streator,LaSalle,gregcravatta@gmail.com,Katelly roofing & contracting,IL,214 Penn St,61364,Home and Vehicle Modification Services
Glenview,Cook,(847) 759-8872,DND Fire Protection Inc,IL,4310 Regency Dr,60025,Home and Vehicle Modification Services
Matteson,Cook,(773) 603-8667,Especial Needs,IL,5646 Fernwood Ct,60443,Home and Vehicle Modification Services
Griffin,,(678) 572-4410,Purple Ribbon Mobility LLC,GA,410 E Taylor St Ste K1,30223,Home and Vehicle Modification Services
Marion,Williamson,(618) 993-3977,L & K Fire Protection INC,IL,1501 E Main St,62959,Home and Vehicle Modification Services
Marion,Williamson,(618) 889-6171,All American Acess and Mobility,IL,102 E DeYoung St Ste A,62959,Home and Vehicle Modification Services
Gurnee,Lake,(847) 269-1974,"LAB Construction,INC",IL,17334 W Westwind Dr,60031,Home and Vehicle Modification Services
Berwyn,Cook,martin@kusumosurarso.com,"Kusumosurarso, Martinus",IL,2342 Lombard Ave,60402,Home and Vehicle Modification Services
Anna,Union,(618) 833-0247,Stegle Plumbling,IL,2165 Boyd Rd,62906,Home and Vehicle Modification Services
Bensenville,DuPage,(630) 860-5188,Cardinal Fence,IL,1025 Industrial Dr.,60106,Home and Vehicle Modification Services
Machesney Park,Winnebago,(815) 977-5753,"Butterfield, Michael",IL,948 Colonial Dr,61115,Home and Vehicle Modification Services
Hasbrouck Hgts,Bergen,(800) 793-7900,Flaghouse,NJ,601 Flaghouse Dr,7604,Home and Vehicle Modification Services
Highwood,Lake,(847) 433-3636,Frank Zanotti Tile&Stone,IL,6 Walker Ave,60040,Home and Vehicle Modification Services
Tuscola,Douglas,mwright@mcbeacon.org,"Diener, Willis",IL,375 E County Road 700 N,61953,Home and Vehicle Modification Services
Belleville,St. Clair,(618) 236-7957 x103,Developmental Disability Services of Metro East,IL,2900 Frank Scott PkwyW Ste 928,62223,Home and Vehicle Modification Services
Island Lake,Lake,(847) 370-0852,"Basgall, Richard",IL,27943 N Converse Rd,60042,Home and Vehicle Modification Services
Rockford,Winnebago,(815) 282-5277,Ramp Roll INC,IL,5032 Bent Tree Ct,61114,Home and Vehicle Modification Services
Joliet,Will,(815) 834-1200,Americas Backyard,IL,1909 S Briggs St,60433,Home and Vehicle Modification Services
Morton,Tazewell,(309) 266-9778,F E Moran INC Fire Protection,IL,818 N Main St,61550,Home and Vehicle Modification Services
Roselle,Cook,(773) 842-3627,Liontoro Group Incorporated,IL,650 N Woodfield Trl,60172,Home and Vehicle Modification Services
Frankfort,Will,(815) 469-4500,"Extended Home Living Services, Inc.",IL,9500 W Manhattan Monee Rd,60423,Home and Vehicle Modification Services
Arlington Hgts,Cook,(847) 375-0300,Imperial Surveillance Inc,IL,1508 E Algonquin Rd,60005,Home and Vehicle Modification Services
Arnold,,(314) 200-3855,Promise Mobility,MO,4700 Happy Ln,63010,Home and Vehicle Modification Services
Aurora,Arapahoe,(303) 309-3647,Autism Community Store,CO,14095 E Exposition Ave,80012,Home and Vehicle Modification Services
Lake Forest,Lake,(847) 816-0050,"United States Alliance Fire Protection, Inc.",IL,28427 N Ballard Dr Ste H,60047,Home and Vehicle Modification Services
Lake Zurich,Lake,(847) 884-0431,"Housh's Construction Company, Inc",IL,350 Telser Rd,60045,Home and Vehicle Modification Services
Lansing,Cook,(708) 267-1950,"Pierre-Auguste, Charles",IL,18113 Crystal Ln,60438,Home and Vehicle Modification Services
Breese,Clinton,(618) 526-4131,Southern Bus and Mobility,IL,"12950 Koch Ln, P.O. Box 37",62230,Home and Vehicle Modification Services
Skokie,Cook,(847) 982-9500,Sherman Dodge,IL,7601 Skokie Blvd,60077,Home and Vehicle Modification Services
Barrington,Cook,doug@stamilton.com,"Boncosky, Douglas",IL,235 Coolidge Ave,60010,Home and Vehicle Modification Services
Mount Auburn,Christian,(217) 855-9182,"Heitzman, Loren",IL,1651 E 2945 North Rd,62547,Home and Vehicle Modification Services
Bridgeview,Cook,(815) 508-1408,EnspivationLLC,IL,8040 ODell Ave,60455,Home and Vehicle Modification Services
Bushnell,McDonough,whiteco71@gmail.com,"White, Robert",IL,20850 N 1800th Rd,61422,Home and Vehicle Modification Services
Brimfield,Peoria,(309) 303-5799,Lehman Plumbing INC,IL,11203 N Maher Rd,61517,Home and Vehicle Modification Services
Lisle,DuPage,(630) 960-9700,DayOne PACT,IL,750 Warrenville Rd Ste 300,60532,Home and Vehicle Modification Services
ROCKFORD,WINNEBAGO,(815) 965-1778,CANTERBURY PLACE,IL,2503 CANTERBURY LN,61101,Intermediate Care Facility Services
ROCKFORD,WINNEBAGO,(815) 965-1043,GLENWOOD VILLA,IL,3247 GLENWOOD AVE,61101,Intermediate Care Facility Services
SAUK VLG,COOK,(708) 758-7211,TORRENCE PLACE,IL,2601 223RD ST,60411,Intermediate Care Facility Services
UNIVERSITY PARK,WILL,(708) 534-5529,BURNHAM HOUSE,IL,545 BURNHAM,60466,Intermediate Care Facility Services
S HOLLAND,COOK,(708) 596-4442,TIBSTRA HOUSE,IL,271 E 161ST ST,60473,Intermediate Care Facility Services
ROCKFORD,WINNEBAGO,(815) 965-3390,SEARLES GROUP HOME,IL,3310 SEARLES AVE,61101,Intermediate Care Facility Services
UNIVERSITY PARK,WILL,(708) 534-5821,WILLOW HOUSE,IL,555 BURNHAM,60466,Intermediate Care Facility Services
SAUK VLG,COOK,(708) 757-6729,PRAIRIE HOUSE,IL,1770 SAUK TRAIL,60411,Intermediate Care Facility Services
SAUK VILLAGE,COOK,(708) 758-8756,CAROLE LANE TERRACE,IL,1641 CAROLE LN,60411,Intermediate Care Facility Services
ROCKFORD,WINNEBAGO,(815) 965-1249,ROCKTON COURT,IL,2615 N ROCKTON AVE,61101,Intermediate Care Facility Services
WATERLOO,MONROE,(618) 939-3336,BELLEFONTAINE PLACE,IL,98 DEBRA LN,62298,Intermediate Care Facility Services
SALEM,MARION,(618) 548-0353,LYNWOOD ESTATES,IL,301 RODDY RD,62881,Intermediate Care Facility Services
ROLLING MEADOWS,COOK,(847) 255-0120,CLEARBROOK CENTER,IL,3201 W CAMPBELL STR,60008,Intermediate Care Facility Services
ROLLING MDWS,COOK,(847) 253-5155,CLEARBROOK WEST,IL,3980 FAIRFAX,60008,Intermediate Care Facility Services
ROCKFORD,WINNEBAGO,(815) 963-4927,OLSON TERRACE,IL,3006 ALIDA ST,61101,Intermediate Care Facility Services
WOOD RIVER,MADISON,(618) 259-2777,THELMA TERRACE,IL,1450 VIRGINIA AVE,62095,Intermediate Care Facility Services
STERLING,WHITESIDE,(815) 626-9547,HAMMETT HOUSE,IL,1845 - 1ST AVENUE,61081,Intermediate Care Facility Services
STOCKTON,JO DAVIES,(815) 777-9525,RACHUY HOUSE,IL,605 N MAIN ST,61085,Intermediate Care Facility Services
STREAMWOOD,COOK,(630) 483-0537,ZACHARY HOUSE,IL,1100 E AVENUE,60107,Intermediate Care Facility Services
STERLING,WHITESIDE,(815) 626-5820,EXCEPTIONAL CR & TRAINING CTR,IL,2601 WOODLAWN RD,61081,Intermediate Care Facility Services
STERLING,WHITESIDE,(815) 625-4444,CASA WILLIS,IL,910 WOODBURN AVE,61081,Intermediate Care Facility Services
STERLING,WHITESIDE,(815) 625-1600,STERN SQUARE,IL,1328 W 7TH ST,61081,Intermediate Care Facility Services
S HOLLAND,COOK,(708) 333-5013,HOLLAND TERRACE,IL,15175 STATE ST,60473,Intermediate Care Facility Services
WOOD RIVER,MADISON,(618) 258-1616,PERSHING TERRACE,IL,460 PERSHING,62095,Intermediate Care Facility Services
SPRINGFIELD,SANGAMON,(217) 793-0074,GAINES MILL PLACE,IL,3310 GAINES MILL RD,62704,Intermediate Care Facility Services
WOODSTOCK,MCHENRY,(815) 338-6440,SHELTERED VILLAGE,IL,600 BORDEN,60098,Intermediate Care Facility Services
SPRINGFIELD,SANGAMON,(217) 786-3109,ADLOFF PLACE,IL,50 ADLOFF LN,62703,Intermediate Care Facility Services
WOOD RIVER,MADISON,(618) 258-1212,LINTON TERRACE,IL,330 LINTON AVE,62095,Intermediate Care Facility Services
WOOD RIVER,MADISON,(618) 254-4400,MADISON TERRACE,IL,95 N MAIN,62095,Intermediate Care Facility Services
SPRINGFIELD,SANGAMON,(217) 585-1188,CURTISS COURT,IL,2883 S TAYLOR AVE,62703,Intermediate Care Facility Services
SPRINGFIELD,SANGAMON,(217) 544-4876,BROTHER JAMES COURT,IL,2508 ST JAMES ROAD,62707,Intermediate Care Facility Services
SPRINGFIELD,SANGAMON,(217) 529-2053,TAYLOR HOUSE,IL,3021 TAYLOR AVE,62703,Intermediate Care Facility Services
ROSICLARE,HARDIN,(618) 285-6974,WHISPERING OAKS,IL,201 SPRING STREET,62982,Intermediate Care Facility Services
SULLIVAN,MOULTRIE,(217) 728-4357,PATTERSON HOUSE,IL,307 E JEFFERSON,61951,Intermediate Care Facility Services
WAUKEGAN,LAKE,(847) 662-6444,PINE TERRACE,IL,2017 NORTH PINE,60085,Intermediate Care Facility Services
WAUKEGAN,LAKE,(847) 473-0229,WAUKEGAN TERRACE,IL,660S LEWIS STR,60085,Intermediate Care Facility Services
TAYLORVILLE,CHRISTIAN,(217) 287-1484,VICTORIAN MANOR,IL,815 E VINE,62568,Intermediate Care Facility Services
ROLLING MDWS,COOK,(847) 870-0745,CLEARBROOK EAST,IL,3802 S OLD WILKE RD,60008,Intermediate Care Facility Services
TAYLORVILLE,CHRISTIAN,(217) 287-7787,TAYLORVILLE TERRACE,IL,921 E MARKET ST,62568,Intermediate Care Facility Services
SPRINGFIELD,SANGAMON,(217) 523-0168,GLENWOOD TERRACE-SPRINGFIELD,IL,2724 GLENWOOD AVE,62704,Intermediate Care Facility Services
ROLLING MDWS,COOK,(847) 397-0055,MEADOWS,IL,3250 S PLUM GROVE RD,60008,Intermediate Care Facility Services
SPARTA,RANDOLPH,(618) 443-2122,SPARTA TERRACE,IL,1501 MELMAR DR,62286,Intermediate Care Facility Services
ROCKFORD,WINNEBAGO,(815) 963-0570,HALLAM TERRACE,IL,1108 TAYLOR ST,61101,Intermediate Care Facility Services
ADDISON,DUPAGE,(630) 543-2440,IONA GLOS SLC,IL,50 S FAIRBANK ST,60101,Intermediate Care Facility Services
ROCKFORD,WINNEBAGO,(815) 877-7001,MILESTONE-ELMWOOD HEIGHTS,IL,2662 ELMWOOD RD,61103,Intermediate Care Facility Services
CHICAGO,COOK,(773) 973-6300,O'DONNELL HOUSE,IL,6300 N RIDGE AVE,60660,Intermediate Care Facility Services
CHICAGO,COOK,(773) 973-6300,MINIAT HOUSE,IL,6300 N RIDGE AVE,60660,Intermediate Care Facility Services
CHICAGO,COOK,(773) 973-6300,MCNERNEY HOUSE,IL,6300 NORTH RIDGE AVE,60660,Intermediate Care Facility Services
CHICAGO,COOK,(773) 973-6300,MCGOWAN HOUSE,IL,6300 N RIDGE AVE,60660,Intermediate Care Facility Services
CHICAGO,COOK,(773) 973-6300,MCAULEY RESIDENCE,IL,2060 WEST GRANVILLE,60659,Intermediate Care Facility Services
CHICAGO,COOK,(773) 973-6300,MAZZA HOUSE,IL,6300 N RIDGE AVE,60660,Intermediate Care Facility Services
CHICAGO,COOK,(773) 973-6300,MARIAN CTR FOR ADULT RESIDENTS,IL,6300 N RIDGE AVE,60660,Intermediate Care Facility Services
CHICAGO,COOK,(773) 973-6300,MAHONEY HOUSE,IL,6300 N RIDGE AVE,60660,Intermediate Care Facility Services
CHICAGO,COOK,(773) 973-6300,KAPERL HOME,IL,6300 N RIDGE AVE,60660,Intermediate Care Facility Services
CHICAGO,COOK,(773) 973-6300,HERBSTRITT HOUSE,IL,6300 N RIDGE AVE,60660,Intermediate Care Facility Services
CHICAGO,COOK,(773) 973-6300,HARTEMAYER HOME,IL,6300 N RIDGE AVE,60660,Intermediate Care Facility Services
CHICAGO,COOK,(773) 973-6300,CONRAD HOUSE,IL,6300 NORTH RIDGE AVE,60660,Intermediate Care Facility Services
CHICAGO,COOK,(773) 973-6300,CONNELLY HOME,IL,6300 N RIDGE AVE,60660,Intermediate Care Facility Services
CHICAGO,COOK,(773) 973-6300,COLEMAN HOUSE,IL,6300 NORTH RIDGE AVE,60660,Intermediate Care Facility Services
CHICAGO,COOK,(773) 973-6300,CARR HOME,IL,6300 N RIDGE AVE,60660,Intermediate Care Facility Services
CHICAGO,COOK,(773) 973-6300,PETERMAN HOUSE,IL,6300 NORTH RIDGE AVE,60660,Intermediate Care Facility Services
CHICAGO,COOK,(773) 973-6300,POLK HOUSE,IL,6300 N RIDGE AVE,60660,Intermediate Care Facility Services
CHICAGO,COOK,(773) 973-6300,RICE HOUSE,IL,6300 N RIDGE AVE,60660,Intermediate Care Facility Services
CHICAGO,COOK,(773) 973-6300,ROSEMARY HOME,IL,6300 N. RIDGE AVE,60660,Intermediate Care Facility Services
EDWARDSVILLE,MADISON,(618) 656-6161,EDWARDSVILLE TERRACE,IL,808 SW PLACE,62025,Intermediate Care Facility Services
E PEORIA,TAZEWELL,(309) 698-9600,HARRIS PLACE,IL,209 HARRIS RD,61611,Intermediate Care Facility Services
E PEORIA,TAZEWELL,(309) 698-9200,BRIARBROOK PLACE,IL,228 BRIARBROOK DR,61611,Intermediate Care Facility Services
DOLTON,COOK,(708) 201-0990,DOLTON COURT,IL,644 SHERIDAN AVE,60419,Intermediate Care Facility Services
DIXON,LEE,(815) 288-7621,NEW MAIN GROUP HOME,IL,1201 MIDDLE RD,61021,Intermediate Care Facility Services
DIXON,LEE,(815) 288-7397,OTTAWA GROUP HOME,IL,726 N OTTAWA,61021,Intermediate Care Facility Services
DES PLAINES,COOK,(847) 827-6628,GOLFVIEW DEVELOPMENTAL CENTER,IL,9555 W GOLF RD,60016,Intermediate Care Facility Services
CHICAGO,COOK,(773) 973-6300,BRACH HOUSE,IL,6300 N RIDGE AVE,60660,Intermediate Care Facility Services
DECATUR,MACON,(217) 877-0671,SPRING CREEK TERRACE,IL,3155 E MOUND RD,62526,Intermediate Care Facility Services
CTRY CLUB HILLS,COOK,(708) 922-1240,RAVISLOE TERRACE,IL,18227 RAVISLOE,60478,Intermediate Care Facility Services
CTRY CLUB HILLS,COOK,(708) 647-0752,COUNTRY CLUB TERRACE,IL,4900 W 183RD ST,60478,Intermediate Care Facility Services
CHICAGO HTS,COOK,(708) 756-7771,BROADWAY TERRACE,IL,43 BROADWAY,60411,Intermediate Care Facility Services
CHICAGO,COOK,(773) 994-0833,HAMMOND HOUSE,IL,6701 S MORGAN,60621,Intermediate Care Facility Services
CHICAGO,COOK,(773) 994-0775,KNIGHT HOUSE,IL,6600 S STEWART,60621,Intermediate Care Facility Services
CHICAGO,COOK,(773) 973-6300,WALSH HOME,IL,6300 N RIDGE AVE,60660,Intermediate Care Facility Services
CHICAGO,COOK,(773) 973-6300,SHANNON HOUSE,IL,6300 N RIDGE AVE,60660,Intermediate Care Facility Services
DANVILLE,VERMILION,(217) 443-0222,SCHULTZ HOUSE,IL,340 BRYAN AVE,61832,Intermediate Care Facility Services
EFFINGHAM,EFFINGHAM,(217) 342-6621,WETHERELL PLACE,IL,1026 N MERCHANT ST,62401,Intermediate Care Facility Services
CHICAGO,COOK,(773) 731-4033,MOORE HOUSE,IL,9135 S BRANDON AVE,60617,Intermediate Care Facility Services
CHICAGO,COOK,(773) 373-1073,DANFORTH HOUSE,IL,4540 S MICHIGAN AVE,60653,Intermediate Care Facility Services
BELLWOOD,COOK,(708) 547-3580,BELLWOOD DEVELOPMENTAL CENTER,IL,105 EASTERN AVENUE,60104,Intermediate Care Facility Services
BEARDSTOWN,CASS,(217) 323-5544,BEARDSTOWN TERRACE,IL,310 E 8TH ST,62618,Intermediate Care Facility Services
AVISTON,CLINTON,(618) 228-7040,AVISTON TERRACE,IL,349 W FIRST ST,62216,Intermediate Care Facility Services
AURORA,KANE,(630) 859-7650,TAC HOUSE,IL,421 CONSTITUTION DR,60506,Intermediate Care Facility Services
ASHTON,LEE,(815) 453-2226,ASHTON TERRACE,IL,307 ALAN ST,61006,Intermediate Care Facility Services
ASHTON,LEE,(815) 453-2074,FIRST STREET GROUP HOME,IL,407 N 1ST ST,61006,Intermediate Care Facility Services
ANNA,UNION,(618) 833-6012,MULBERRY MANOR,IL,612 E DAVIE ST BOX 88,62906,Intermediate Care Facility Services
AMBOY,LEE,(815) 857-4105,DIVISION STREET HOME,IL,317 W DIVISION ST,61310,Intermediate Care Facility Services
AMBOY,LEE,(815) 857-2349,WASSON STREET PLACE,IL,205 E WASSON,61310,Intermediate Care Facility Services
AMBOY,LEE,(815) 857-2299,BOYD AVENUE HOME,IL,110 S BOYD AVE,61310,Intermediate Care Facility Services
ALTON,MADISON,(618) 474-2020,ALTON BLUFFS ESTATE,IL,821 WASHINGTON AVE,62002,Intermediate Care Facility Services
ALTON,MADISON,(618) 465-8845,FOSTERBURG TERRACE,IL,4617 WONDERLAND DR,62002,Intermediate Care Facility Services
ALTON,MADISON,(618) 462-1515,ABERDEEN TERRACE,IL,4029 ABERDEEN,62002,Intermediate Care Facility Services
ALSIP,COOK,(708) 396-1117,PARK LAWN CENTER,IL,5831 W 115TH ST,60803,Intermediate Care Facility Services
ALSIP,COOK,(708) 385-1982,PARK LAWN HOME,IL,12615 S KOSTNER AVE,60803,Intermediate Care Facility Services
BLOOMINGDALE,DUPAGE,(630) 523-5783,ALDEN SPRINGS,IL,207 EAST ARMY TRAIL RD,60108,Intermediate Care Facility Services
BLOOMINGDALE,DUPAGE,(630) 529-3350,ALDEN VILLAGE HEALTH FACILITY,IL,267 E LAKE ST,60108,Intermediate Care Facility Services
BLOOMINGDALE,DUPAGE,(630) 671-1660,ALDEN OF OLD TOWN WEST,IL,118 S BLOOMINGDALE RD,60108,Intermediate Care Facility Services
BLOOMINGDALE,DUPAGE,(630) 671-1703,ALDEN OF OLD TOWN EAST,IL,108 SOUTH 1ST ST,60108,Intermediate Care Facility Services
CHICAGO,COOK,(773) 373-1044,DAVIS HOUSE,IL,4237 S INDIANA AVE,60653,Intermediate Care Facility Services
CHICAGO,COOK,(773) 338-0200,ALDEN VILLAGE NORTH,IL,7464 N SHERIDAN RD,60626,Intermediate Care Facility Services
CHAMPAIGN,CHAMPAIGN,(217) 356-5164,SWANN SPECIAL CARE CENTER,IL,109 KENWOOD RD,61821,Intermediate Care Facility Services
CENTRALIA,MARION,(618) 918-3770,BRYAN MANOR,IL,"2150 E MCCORD, PO BOX 568",62801,Intermediate Care Facility Services
CENTRALIA,MARION,(618) 533-7922,PARK PLACE - CENTRALIA,IL,332 COUNTRY CLUB RD,62801,Intermediate Care Facility Services
CENTRALIA,MARION,(618) 532-9630,DIAMONDVIEW,IL,338 COUNTRY CLUB RD,62801,Intermediate Care Facility Services
CARTHAGE,HANCOCK,(217) 357-2333,CARTHAGE TERRACE,IL,1205 N CENTER STREET,62321,Intermediate Care Facility Services
CHICAGO,COOK,(773) 545-8300,ROSE-ANGELA HALL,IL,4200 N AUSTIN,60634,Intermediate Care Facility Services
CARLINVILLE,MACOUPIN,(217) 854-9443,CARLINVILLE ESTATES,IL,1221 S PLUM ST,62626,Intermediate Care Facility Services
CANTON,FULTON,(309) 647-0440,EMERALD ESTATES,IL,1577 E MYRTLE PO BOX 232,61520,Intermediate Care Facility Services
CALUMET CITY,COOK,(708) 730-3312,CALUMET CITY TERRACE,IL,1380 RIVER DR,60409,Intermediate Care Facility Services
BURBANK,COOK,(708) 636-0054,GARDEN CENTER SERVICES,IL,8345 S AUSTIN AVE,60459,Intermediate Care Facility Services
BRADLEY,KANKAKEE,(815) 932-8668,COLLINS SQUARE,IL,145 S CROSSWELL AVE,60915,Intermediate Care Facility Services
BOURBONNAIS,KANKAKEE,(815) 939-3680,ROY COURT,IL,362 ROY ST,60914,Intermediate Care Facility Services
BOURBONNAIS,KANKAKEE,(815) 932-2745,CHAMNESS SQUARE,IL,340 HERITAGE DR,60914,Intermediate Care Facility Services
BLOOMINGDALE,DUPAGE,(630) 671-1990,ALDEN TRAILS,IL,273 ARMY TRAIL RD,60108,Intermediate Care Facility Services
CANTON,FULTON,(309) 647-5631,RENAISSANCE CARE CENTER-DD,IL,1675 E ASH ST,6220,Intermediate Care Facility Services
ROCKFORD,WINNEBAGO,(815) 963-0332,SEBORG TERRACE,IL,3024 ALIDA ST,61101,Intermediate Care Facility Services
EFFINGHAM,EFFINGHAM,(217) 342-9313,EFFINGHAM TERRACE,IL,1101 S 3RD ST,62401,Intermediate Care Facility Services
EVANSTON,COOK,(847) 982-2030,SHORE HOMES EAST,IL,503 MICHIGAN AVE,60202,Intermediate Care Facility Services
MORTON,TAZEWELL,(309) 266-9781,LINDEN ESTATE,IL,1000 LINDEN ST,61550,Intermediate Care Facility Services
MORTON,TAZEWELL,(309) 266-9781,APOS CHRISTIAN TIMBER RIDGE,IL,2125 VETERANS RD,61550,Intermediate Care Facility Services
MOMENCE,KANKAKEE,(815) 472-3700,THOMAS LOMBARD HOUSE,IL,4129A N RTE 1 & 17 PO BOX 260,60954,Intermediate Care Facility Services
MOMENCE,KANKAKEE,(815) 472-3700,THOMAS HERBSTRITT HOUSE,IL,4003 N RTE 1 & 17 PO BOX 260,60954,Intermediate Care Facility Services
MOLINE,ROCK ISLAND,(309) 796-2949,ROSE HOUSE,IL,7301 34TH AVE,61265,Intermediate Care Facility Services
MOLINE,ROCK ISLAND,(309) 796-2676,SMITH SQUARE,IL,7401 34TH AVE,61265,Intermediate Care Facility Services
MATTESON,COOK,(708) 720-4931,MATTESON COURT,IL,237 CENTRAL AVE,60443,Intermediate Care Facility Services
MARKHAM,COOK,(708) 225-1549,SPAULDING TERRACE,IL,16307 SPAULDING AVE,60426,Intermediate Care Facility Services
LYNWOOD,COOK,(708) 758-3988,LYNWOOD TERRACE,IL,2317 E 207TH ST,60411,Intermediate Care Facility Services
LOUISVILLE,CLAY,(309) 691-8113,COUNTRYVIEW TERRACE,IL,52 OLD RT 45 #116,62858,Intermediate Care Facility Services
LOCKPORT,WILL,(708) 301-6870,SHADY OAKS EAST,IL,16240 PARKER RD,60441,Intermediate Care Facility Services
LOCKPORT,WILL,(708) 301-0571,SHADY OAKS WEST,IL,16220 PARKER RD,60441,Intermediate Care Facility Services
LINCOLNSHIRE,LAKE,(847) 634-3973,RIVERSIDE FOUNDATION,IL,14588 W HWY 22,60069,Intermediate Care Facility Services
LINCOLN,LOGAN,(217) 732-7597,LINCOLN TERRACE,IL,2324 N KICKAPOO ST,62656,Intermediate Care Facility Services
LINCOLN,LOGAN,(217) 732-3625,LAWRENCE PLACE,IL,715 S WASHINGTON ST,62656,Intermediate Care Facility Services
MORTON,TAZEWELL,(309) 266-9781,OAKWOOD ESTATE,IL,2213 VETERANS RD,61550,Intermediate Care Facility Services
NEW BADEN,CLINTON,(618) 588-4924,CLINTON MANOR LIVING CENTER-DD,IL,111 E ILLINOIS ST,62265,Intermediate Care Facility Services
NOKOMIS,MONTGOMERY,(217) 563-7013,MONTGOMERY TERRACE,IL,215 N WALNUT,62075,Intermediate Care Facility Services
NORTH CHICAGO,LAKE,(847) 473-0229,LEWIS TERRACE,IL,1916 16TH STR,60064,Intermediate Care Facility Services
ROCKFORD,WINNEBAGO,(815) 877-7001,MILESTONE-ELMWOOD EAST,IL,2642 ELMWOOD RD,61103,Intermediate Care Facility Services
ROCKFORD,WINNEBAGO,(815) 654-6616,MILESTONE-SUN VALLEY,IL,3351 SUN VALLEY,61103,Intermediate Care Facility Services
QUINCY,ADAMS,(217) 223-4333,MAPLE TERRACE,IL,1510 N 4TH ST,62301,Intermediate Care Facility Services
QUINCY,ADAMS,(217) 223-2901,QUINCY TERRACE,IL,1233 N 6TH ST,62301,Intermediate Care Facility Services
PROPHETSTOWN,WHITESIDE,(815) 537-5358,STRIVE,IL,415 A STREET,61277,Intermediate Care Facility Services
PITTSFIELD,PIKE,(217) 285-4955,KEPLEY HOUSE,IL,408 E WASHINGTON,62363,Intermediate Care Facility Services
